Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
Rovereto,PM10,2013-11-26,21,6,µg/mc
Rovereto,PM10,2013-11-26,22,6,µg/mc
Rovereto,PM10,2013-11-26,23,5,µg/mc
Rovereto,PM10,2013-11-26,24,5,µg/mc
Rovereto,PM10,2013-11-27,1,5,µg/mc
Rovereto,PM10,2013-11-27,2,5,µg/mc
Rovereto,PM10,2013-11-27,3,5,µg/mc
Rovereto,PM10,2013-11-27,4,5,µg/mc
Rovereto,PM10,2013-11-27,5,5,µg/mc
Rovereto,PM10,2013-11-27,6,4,µg/mc
Rovereto,PM10,2013-11-27,7,4,µg/mc
Rovereto,PM10,2013-11-27,8,4,µg/mc
Rovereto,PM10,2013-11-27,9,5,µg/mc
Rovereto,PM10,2013-11-27,10,6,µg/mc
Rovereto,PM10,2013-11-27,11,6,µg/mc
Rovereto,PM10,2013-11-27,12,5,µg/mc
Rovereto,PM10,2013-11-27,13,5,µg/mc
Rovereto,PM10,2013-11-27,14,6,µg/mc
Rovereto,PM10,2013-11-27,15,6,µg/mc
Rovereto,PM10,2013-11-27,16,9,µg/mc
Rovereto,PM10,2013-11-27,17,13,µg/mc
Rovereto,PM10,2013-11-27,18,16,µg/mc
Rovereto,PM10,2013-11-27,19,15,µg/mc
Rovereto,PM10,2013-11-27,20,17,µg/mc
Rovereto,PM10,2013-11-27,21,20,µg/mc
Rovereto,PM10,2013-11-27,22,28,µg/mc
Rovereto,PM10,2013-11-27,23,23,µg/mc
Rovereto,PM10,2013-11-27,24,26,µg/mc
Rovereto,PM10,2013-11-28,1,27,µg/mc
Rovereto,PM10,2013-11-28,2,25,µg/mc
Rovereto,PM10,2013-11-28,3,24,µg/mc
Rovereto,PM10,2013-11-28,4,22,µg/mc
Rovereto,PM10,2013-11-28,5,22,µg/mc
Rovereto,PM10,2013-11-28,6,22,µg/mc
Rovereto,PM10,2013-11-28,7,20,µg/mc
Rovereto,PM10,2013-11-28,8,25,µg/mc
Rovereto,PM10,2013-11-28,9,26,µg/mc
Rovereto,PM10,2013-11-28,10,24,µg/mc
Rovereto,PM10,2013-11-28,11,22,µg/mc
Rovereto,PM10,2013-11-28,12,16,µg/mc
Rovereto,PM10,2013-11-28,13,15,µg/mc
Rovereto,PM10,2013-11-28,14,16,µg/mc
Rovereto,PM10,2013-11-28,15,18,µg/mc
Rovereto,PM10,2013-11-28,16,19,µg/mc
Rovereto,PM10,2013-11-28,17,21,µg/mc
Rovereto,PM10,2013-11-28,18,22,µg/mc
Rovereto,PM10,2013-11-28,19,21,µg/mc
Rovereto,PM10,2013-11-28,20,23,µg/mc
Rovereto,PM10,2013-11-28,21,24,µg/mc
Rovereto,PM10,2013-11-28,22,30,µg/mc
Rovereto,PM10,2013-11-28,23,31,µg/mc
Rovereto,PM10,2013-11-28,24,50,µg/mc
Rovereto,PM10,2013-11-29,1,30,µg/mc
Rovereto,PM10,2013-11-29,2,28,µg/mc
Rovereto,PM10,2013-11-29,3,29,µg/mc
Rovereto,PM10,2013-11-29,4,28,µg/mc
Rovereto,PM10,2013-11-29,5,20,µg/mc
Rovereto,PM10,2013-11-29,6,21,µg/mc
Rovereto,PM10,2013-11-29,7,20,µg/mc
Rovereto,PM10,2013-11-29,8,20,µg/mc
Rovereto,PM10,2013-11-29,9,25,µg/mc
Rovereto,PM10,2013-11-29,10,25,µg/mc
Rovereto,PM10,2013-11-29,11,23,µg/mc
Rovereto,PM10,2013-11-29,12,22,µg/mc
Rovereto,PM10,2013-11-29,13,19,µg/mc
Rovereto,PM10,2013-11-29,14,20,µg/mc
Rovereto,PM10,2013-11-29,15,22,µg/mc
Rovereto,PM10,2013-11-29,16,24,µg/mc
Rovereto,PM10,2013-11-29,17,24,µg/mc
Rovereto,PM10,2013-11-29,18,23,µg/mc
Rovereto,PM10,2013-11-29,19,23,µg/mc
Rovereto,PM10,2013-11-29,20,27,µg/mc
Rovereto,PM10,2013-11-29,21,26,µg/mc
Rovereto,PM10,2013-11-29,22,35,µg/mc
Rovereto,PM10,2013-11-29,23,29,µg/mc
Rovereto,PM10,2013-11-29,24,30,µg/mc
Rovereto,PM10,2013-11-30,1,37,µg/mc
Rovereto,PM10,2013-11-30,2,42,µg/mc
Rovereto,PM10,2013-11-30,3,43,µg/mc
Rovereto,PM10,2013-11-30,4,41,µg/mc
Rovereto,PM10,2013-11-30,5,39,µg/mc
Rovereto,PM10,2013-11-30,6,38,µg/mc
Rovereto,PM10,2013-11-30,7,38,µg/mc
Rovereto,PM10,2013-11-30,8,39,µg/mc
Rovereto,PM10,2013-11-30,9,39,µg/mc
Rovereto,PM10,2013-11-30,10,41,µg/mc
Rovereto,PM10,2013-11-30,11,38,µg/mc
Rovereto,PM10,2013-11-30,12,35,µg/mc
Rovereto,PM10,2013-11-30,13,35,µg/mc
Rovereto,PM10,2013-11-30,14,35,µg/mc
Rovereto,PM10,2013-11-30,15,35,µg/mc
Rovereto,PM10,2013-11-30,16,36,µg/mc
Rovereto,PM10,2013-11-30,17,42,µg/mc
Rovereto,PM10,2013-11-30,18,46,µg/mc
Rovereto,PM10,2013-11-30,19,51,µg/mc
Rovereto,PM10,2013-11-30,20,59,µg/mc
Rovereto,PM10,2013-11-30,21,54,µg/mc
Rovereto,PM10,2013-11-30,22,44,µg/mc
Rovereto,PM10,2013-11-30,23,35,µg/mc
Rovereto,PM10,2013-11-30,24,34,µg/mc
Rovereto,PM10,2013-12-01,1,28,µg/mc
Rovereto,PM10,2013-12-01,2,28,µg/mc
Rovereto,PM10,2013-12-01,3,29,µg/mc
Rovereto,PM10,2013-12-01,4,20,µg/mc
Rovereto,PM10,2013-12-01,5,22,µg/mc
Rovereto,PM10,2013-12-01,6,15,µg/mc
Rovereto,PM10,2013-12-01,7,14,µg/mc
Rovereto,PM10,2013-12-01,8,17,µg/mc
Rovereto,PM10,2013-12-01,9,17,µg/mc
Rovereto,PM10,2013-12-01,10,19,µg/mc
Rovereto,PM10,2013-12-01,11,16,µg/mc
Rovereto,PM10,2013-12-01,12,11,µg/mc
Rovereto,PM10,2013-12-01,13,8,µg/mc
Rovereto,PM10,2013-12-01,14,9,µg/mc
Rovereto,PM10,2013-12-01,15,9,µg/mc
Rovereto,PM10,2013-12-01,16,11,µg/mc
Rovereto,PM10,2013-12-01,17,13,µg/mc
Rovereto,PM10,2013-12-01,18,15,µg/mc
Rovereto,PM10,2013-12-01,19,15,µg/mc
Rovereto,PM10,2013-12-01,20,13,µg/mc
Rovereto,PM10,2013-12-01,21,12,µg/mc
Rovereto,PM10,2013-12-01,22,13,µg/mc
Rovereto,PM10,2013-12-01,23,11,µg/mc
Rovereto,PM10,2013-12-01,24,11,µg/mc
Rovereto,PM10,2013-12-02,1,12,µg/mc
Rovereto,PM10,2013-12-02,2,11,µg/mc
Rovereto,PM10,2013-12-02,3,11,µg/mc
Rovereto,PM10,2013-12-02,4,10,µg/mc
Rovereto,PM10,2013-12-02,5,9,µg/mc
Rovereto,PM10,2013-12-02,6,9,µg/mc
Rovereto,PM10,2013-12-02,7,9,µg/mc
Rovereto,PM10,2013-12-02,8,11,µg/mc
Rovereto,PM10,2013-12-02,9,12,µg/mc
Rovereto,PM10,2013-12-02,10,11,µg/mc
Rovereto,PM10,2013-12-02,11,10,µg/mc
Rovereto,PM10,2013-12-02,12,9,µg/mc
Rovereto,PM10,2013-12-02,13,8,µg/mc
Rovereto,PM10,2013-12-02,14,9,µg/mc
Rovereto,PM10,2013-12-02,15,13,µg/mc
Rovereto,PM10,2013-12-02,16,16,µg/mc
Rovereto,PM10,2013-12-02,17,18,µg/mc
Rovereto,PM10,2013-12-02,18,20,µg/mc
Rovereto,PM10,2013-12-02,19,19,µg/mc
Rovereto,PM10,2013-12-02,20,22,µg/mc
Rovereto,PM10,2013-12-02,21,28,µg/mc
Rovereto,PM10,2013-12-02,22,37,µg/mc
Rovereto,PM10,2013-12-02,23,34,µg/mc
Rovereto,PM10,2013-12-02,24,34,µg/mc
Rovereto,PM10,2013-12-03,1,36,µg/mc
Rovereto,PM10,2013-12-03,2,40,µg/mc
Rovereto,PM10,2013-12-03,3,39,µg/mc
Rovereto,PM10,2013-12-03,4,33,µg/mc
Rovereto,PM10,2013-12-03,5,31,µg/mc
Rovereto,PM10,2013-12-03,6,32,µg/mc
Rovereto,PM10,2013-12-03,7,31,µg/mc
Rovereto,PM10,2013-12-03,8,31,µg/mc
Rovereto,PM10,2013-12-03,9,28,µg/mc
Rovereto,PM10,2013-12-03,10,28,µg/mc
Rovereto,PM10,2013-12-03,11,24,µg/mc
Rovereto,PM10,2013-12-03,12,17,µg/mc
Rovereto,PM10,2013-12-03,13,16,µg/mc
Rovereto,PM10,2013-12-03,14,16,µg/mc
Rovereto,PM10,2013-12-03,15,18,µg/mc
Rovereto,PM10,2013-12-03,16,18,µg/mc
Rovereto,PM10,2013-12-03,17,18,µg/mc
Rovereto,PM10,2013-12-03,18,24,µg/mc
Rovereto,PM10,2013-12-03,19,30,µg/mc
Rovereto,PM10,2013-12-03,20,42,µg/mc
Rovereto,PM10,2013-12-03,21,42,µg/mc
Rovereto,PM10,2013-12-03,22,42,µg/mc
Rovereto,PM10,2013-12-03,23,40,µg/mc
Rovereto,PM10,2013-12-03,24,29,µg/mc
Rovereto,PM10,2013-12-04,1,26,µg/mc
Rovereto,PM10,2013-12-04,2,23,µg/mc
Rovereto,PM10,2013-12-04,3,17,µg/mc
Rovereto,PM10,2013-12-04,4,15,µg/mc
Rovereto,PM10,2013-12-04,5,13,µg/mc
Rovereto,PM10,2013-12-04,6,13,µg/mc
Rovereto,PM10,2013-12-04,7,14,µg/mc
Rovereto,PM10,2013-12-04,8,16,µg/mc
Rovereto,PM10,2013-12-04,9,15,µg/mc
Rovereto,PM10,2013-12-04,10,15,µg/mc
Rovereto,PM10,2013-12-04,11,15,µg/mc
Rovereto,PM10,2013-12-04,12,13,µg/mc
Rovereto,PM10,2013-12-04,13,12,µg/mc
Rovereto,PM10,2013-12-04,14,14,µg/mc
Rovereto,PM10,2013-12-04,15,13,µg/mc
Rovereto,PM10,2013-12-04,16,15,µg/mc
Rovereto,PM10,2013-12-04,17,20,µg/mc
Rovereto,PM10,2013-12-04,18,18,µg/mc
Rovereto,PM10,2013-12-04,19,20,µg/mc
Rovereto,PM10,2013-12-04,20,24,µg/mc
Rovereto,PM10,2013-12-04,21,28,µg/mc
Rovereto,PM10,2013-12-04,22,23,µg/mc
Rovereto,PM10,2013-12-04,23,24,µg/mc
Rovereto,PM10,2013-12-04,24,19,µg/mc
Rovereto,PM10,2013-12-05,1,25,µg/mc
Rovereto,PM10,2013-12-05,2,23,µg/mc
Rovereto,PM10,2013-12-05,3,20,µg/mc
Rovereto,PM10,2013-12-05,4,18,µg/mc
Rovereto,PM10,2013-12-05,5,16,µg/mc
Rovereto,PM10,2013-12-05,6,14,µg/mc
Rovereto,PM10,2013-12-05,7,16,µg/mc
Rovereto,PM10,2013-12-05,8,17,µg/mc
Rovereto,PM10,2013-12-05,9,23,µg/mc
Rovereto,PM10,2013-12-05,10,21,µg/mc
Rovereto,PM10,2013-12-05,11,21,µg/mc
Rovereto,PM10,2013-12-05,12,21,µg/mc
Rovereto,PM10,2013-12-05,13,18,µg/mc
Rovereto,PM10,2013-12-05,14,20,µg/mc
Rovereto,PM10,2013-12-05,15,21,µg/mc
Rovereto,PM10,2013-12-05,16,23,µg/mc
Rovereto,PM10,2013-12-05,17,21,µg/mc
Rovereto,PM10,2013-12-05,18,22,µg/mc
Rovereto,PM10,2013-12-05,19,20,µg/mc
Rovereto,PM10,2013-12-05,20,24,µg/mc
Rovereto,PM10,2013-12-05,21,34,µg/mc
Rovereto,PM10,2013-12-05,22,37,µg/mc
Rovereto,PM10,2013-12-05,23,40,µg/mc
Rovereto,PM10,2013-12-05,24,35,µg/mc
Rovereto,PM10,2013-12-06,1,39,µg/mc
Rovereto,PM10,2013-12-06,2,37,µg/mc
Rovereto,PM10,2013-12-06,3,36,µg/mc
Rovereto,PM10,2013-12-06,4,34,µg/mc
Rovereto,PM10,2013-12-06,5,34,µg/mc
Rovereto,PM10,2013-12-06,6,31,µg/mc
Rovereto,PM10,2013-12-06,7,32,µg/mc
Rovereto,PM10,2013-12-06,8,32,µg/mc
Rovereto,PM10,2013-12-06,9,34,µg/mc
Rovereto,PM10,2013-12-06,10,34,µg/mc
Rovereto,PM10,2013-12-06,11,34,µg/mc
Rovereto,PM10,2013-12-06,12,30,µg/mc
Rovereto,PM10,2013-12-06,13,27,µg/mc
Rovereto,PM10,2013-12-06,14,27,µg/mc
Rovereto,PM10,2013-12-06,15,25,µg/mc
Rovereto,PM10,2013-12-06,16,27,µg/mc
Rovereto,PM10,2013-12-06,17,25,µg/mc
Rovereto,PM10,2013-12-06,18,24,µg/mc
Rovereto,PM10,2013-12-06,19,22,µg/mc
Rovereto,PM10,2013-12-06,20,25,µg/mc
Rovereto,PM10,2013-12-06,21,54,µg/mc
Rovereto,PM10,2013-12-06,22,38,µg/mc
Rovereto,PM10,2013-12-06,23,35,µg/mc
Rovereto,PM10,2013-12-06,24,35,µg/mc
Rovereto,PM10,2013-12-07,1,31,µg/mc
Rovereto,PM10,2013-12-07,2,32,µg/mc
Rovereto,PM10,2013-12-07,3,29,µg/mc
Rovereto,PM10,2013-12-07,4,26,µg/mc
Rovereto,PM10,2013-12-07,5,20,µg/mc
Rovereto,PM10,2013-12-07,6,18,µg/mc
Rovereto,PM10,2013-12-07,7,18,µg/mc
Rovereto,PM10,2013-12-07,8,18,µg/mc
Rovereto,PM10,2013-12-07,9,19,µg/mc
Rovereto,PM10,2013-12-07,10,22,µg/mc
Rovereto,PM10,2013-12-07,11,39,µg/mc
Rovereto,PM10,2013-12-07,12,29,µg/mc
Rovereto,PM10,2013-12-07,13,21,µg/mc
Rovereto,PM10,2013-12-07,14,17,µg/mc
Rovereto,PM10,2013-12-07,15,17,µg/mc
Rovereto,PM10,2013-12-07,16,20,µg/mc
Rovereto,PM10,2013-12-07,17,22,µg/mc
Rovereto,PM10,2013-12-07,18,27,µg/mc
Rovereto,PM10,2013-12-07,19,27,µg/mc
Rovereto,PM10,2013-12-07,20,35,µg/mc
Rovereto,PM10,2013-12-07,21,44,µg/mc
Rovereto,PM10,2013-12-07,22,48,µg/mc
Rovereto,PM10,2013-12-07,23,39,µg/mc
Rovereto,PM10,2013-12-07,24,40,µg/mc
Rovereto,PM10,2013-12-08,1,39,µg/mc
Rovereto,PM10,2013-12-08,2,38,µg/mc
Rovereto,PM10,2013-12-08,3,34,µg/mc
Rovereto,PM10,2013-12-08,4,31,µg/mc
Rovereto,PM10,2013-12-08,5,28,µg/mc
Rovereto,PM10,2013-12-08,6,26,µg/mc
Rovereto,PM10,2013-12-08,7,23,µg/mc
Rovereto,PM10,2013-12-08,8,23,µg/mc
Rovereto,PM10,2013-12-08,9,24,µg/mc
Rovereto,PM10,2013-12-08,10,25,µg/mc
Rovereto,PM10,2013-12-08,11,23,µg/mc
Rovereto,PM10,2013-12-08,12,19,µg/mc
Rovereto,PM10,2013-12-08,13,19,µg/mc
Rovereto,PM10,2013-12-08,14,16,µg/mc
Rovereto,PM10,2013-12-08,15,15,µg/mc
Rovereto,PM10,2013-12-08,16,15,µg/mc
Rovereto,PM10,2013-12-08,17,15,µg/mc
Rovereto,PM10,2013-12-08,18,18,µg/mc
Rovereto,PM10,2013-12-08,19,25,µg/mc
Rovereto,PM10,2013-12-08,20,33,µg/mc
Rovereto,PM10,2013-12-08,21,37,µg/mc
Rovereto,PM10,2013-12-08,22,42,µg/mc
Rovereto,PM10,2013-12-08,23,33,µg/mc
Rovereto,PM10,2013-12-08,24,34,µg/mc
Rovereto,PM10,2013-12-09,1,34,µg/mc
Rovereto,PM10,2013-12-09,2,31,µg/mc
Rovereto,PM10,2013-12-09,3,30,µg/mc
Rovereto,PM10,2013-12-09,4,26,µg/mc
Rovereto,PM10,2013-12-09,5,25,µg/mc
Rovereto,PM10,2013-12-09,6,23,µg/mc
Rovereto,PM10,2013-12-09,7,23,µg/mc
Rovereto,PM10,2013-12-09,8,25,µg/mc
Rovereto,PM10,2013-12-09,9,23,µg/mc
Rovereto,PM10,2013-12-09,10,21,µg/mc
Rovereto,PM10,2013-12-09,11,23,µg/mc
Rovereto,PM10,2013-12-09,12,22,µg/mc
Rovereto,PM10,2013-12-09,13,19,µg/mc
Rovereto,PM10,2013-12-09,14,21,µg/mc
Rovereto,PM10,2013-12-09,15,23,µg/mc
Rovereto,PM10,2013-12-09,16,24,µg/mc
Rovereto,PM10,2013-12-09,17,27,µg/mc
Rovereto,PM10,2013-12-09,18,33,µg/mc
Rovereto,PM10,2013-12-09,19,36,µg/mc
Rovereto,PM10,2013-12-09,20,37,µg/mc
Rovereto,PM10,2013-12-09,21,35,µg/mc
Rovereto,PM10,2013-12-09,22,32,µg/mc
Rovereto,PM10,2013-12-09,23,34,µg/mc
Rovereto,PM10,2013-12-09,24,30,µg/mc
Rovereto,PM10,2013-12-10,1,34,µg/mc
Rovereto,PM10,2013-12-10,2,31,µg/mc
Rovereto,PM10,2013-12-10,3,34,µg/mc
Rovereto,PM10,2013-12-10,4,34,µg/mc
Rovereto,PM10,2013-12-10,5,34,µg/mc
Rovereto,PM10,2013-12-10,6,32,µg/mc
Rovereto,PM10,2013-12-10,7,31,µg/mc
Rovereto,PM10,2013-12-10,8,38,µg/mc
Rovereto,PM10,2013-12-10,9,38,µg/mc
Rovereto,PM10,2013-12-10,10,38,µg/mc
Rovereto,PM10,2013-12-10,11,37,µg/mc
Rovereto,PM10,2013-12-10,12,30,µg/mc
Rovereto,PM10,2013-12-10,13,26,µg/mc
Rovereto,PM10,2013-12-10,14,26,µg/mc
Rovereto,PM10,2013-12-10,15,26,µg/mc
Rovereto,PM10,2013-12-10,16,32,µg/mc
Rovereto,PM10,2013-12-10,17,27,µg/mc
Rovereto,PM10,2013-12-10,18,30,µg/mc
Rovereto,PM10,2013-12-10,19,27,µg/mc
Rovereto,PM10,2013-12-10,20,42,µg/mc
Rovereto,PM10,2013-12-10,21,52,µg/mc
Rovereto,PM10,2013-12-10,22,65,µg/mc
Rovereto,PM10,2013-12-10,23,57,µg/mc
Rovereto,PM10,2013-12-10,24,50,µg/mc
Rovereto,PM10,2013-12-11,1,47,µg/mc
Rovereto,PM10,2013-12-11,2,43,µg/mc
Rovereto,PM10,2013-12-11,3,42,µg/mc
Rovereto,PM10,2013-12-11,4,40,µg/mc
Rovereto,PM10,2013-12-11,5,38,µg/mc
Rovereto,PM10,2013-12-11,6,36,µg/mc
Rovereto,PM10,2013-12-11,7,35,µg/mc
Rovereto,PM10,2013-12-11,8,37,µg/mc
Rovereto,PM10,2013-12-11,9,37,µg/mc
Rovereto,PM10,2013-12-11,10,31,µg/mc
Rovereto,PM10,2013-12-11,11,34,µg/mc
Rovereto,PM10,2013-12-11,12,29,µg/mc
Rovereto,PM10,2013-12-11,13,23,µg/mc
Rovereto,PM10,2013-12-11,14,26,µg/mc
Rovereto,PM10,2013-12-11,15,25,µg/mc
Rovereto,PM10,2013-12-11,16,25,µg/mc
Rovereto,PM10,2013-12-11,17,23,µg/mc
Rovereto,PM10,2013-12-11,18,25,µg/mc
Rovereto,PM10,2013-12-11,19,39,µg/mc
Rovereto,PM10,2013-12-11,20,50,µg/mc
Rovereto,PM10,2013-12-11,21,46,µg/mc
Rovereto,PM10,2013-12-11,22,47,µg/mc
Rovereto,PM10,2013-12-11,23,46,µg/mc
Rovereto,PM10,2013-12-11,24,42,µg/mc
Rovereto,PM10,2013-12-12,1,42,µg/mc
Rovereto,PM10,2013-12-12,2,40,µg/mc
Rovereto,PM10,2013-12-12,3,36,µg/mc
Rovereto,PM10,2013-12-12,4,32,µg/mc
Rovereto,PM10,2013-12-12,5,31,µg/mc
Rovereto,PM10,2013-12-12,6,26,µg/mc
Rovereto,PM10,2013-12-12,7,29,µg/mc
Rovereto,PM10,2013-12-12,8,29,µg/mc
Rovereto,PM10,2013-12-12,9,30,µg/mc
Rovereto,PM10,2013-12-12,10,32,µg/mc
Rovereto,PM10,2013-12-12,11,31,µg/mc
Rovereto,PM10,2013-12-12,12,22,µg/mc
Rovereto,PM10,2013-12-12,13,22,µg/mc
Rovereto,PM10,2013-12-12,14,20,µg/mc
Rovereto,PM10,2013-12-12,15,20,µg/mc
Rovereto,PM10,2013-12-12,16,22,µg/mc
Rovereto,PM10,2013-12-12,17,26,µg/mc
Rovereto,PM10,2013-12-12,18,29,µg/mc
Rovereto,PM10,2013-12-12,19,34,µg/mc
Rovereto,PM10,2013-12-12,20,45,µg/mc
Rovereto,PM10,2013-12-12,21,49,µg/mc
Rovereto,PM10,2013-12-12,22,42,µg/mc
Rovereto,PM10,2013-12-12,23,42,µg/mc
Rovereto,PM10,2013-12-12,24,36,µg/mc
Rovereto,PM10,2013-12-13,1,37,µg/mc
Rovereto,PM10,2013-12-13,2,34,µg/mc
Rovereto,PM10,2013-12-13,3,30,µg/mc
Rovereto,PM10,2013-12-13,4,31,µg/mc
Rovereto,PM10,2013-12-13,5,27,µg/mc
Rovereto,PM10,2013-12-13,6,21,µg/mc
Rovereto,PM10,2013-12-13,7,21,µg/mc
Rovereto,PM10,2013-12-13,8,21,µg/mc
Rovereto,PM10,2013-12-13,9,21,µg/mc
Rovereto,PM10,2013-12-13,10,21,µg/mc
Rovereto,PM10,2013-12-13,11,23,µg/mc
Rovereto,PM10,2013-12-13,12,19,µg/mc
Rovereto,PM10,2013-12-13,13,15,µg/mc
Rovereto,PM10,2013-12-13,14,15,µg/mc
Rovereto,PM10,2013-12-13,15,15,µg/mc
Rovereto,PM10,2013-12-13,16,16,µg/mc
Rovereto,PM10,2013-12-13,17,19,µg/mc
Rovereto,PM10,2013-12-13,18,21,µg/mc
Rovereto,PM10,2013-12-13,19,23,µg/mc
Rovereto,PM10,2013-12-13,20,34,µg/mc
Rovereto,PM10,2013-12-13,21,38,µg/mc
Rovereto,PM10,2013-12-13,22,40,µg/mc
Rovereto,PM10,2013-12-13,23,36,µg/mc
Rovereto,PM10,2013-12-13,24,32,µg/mc
Rovereto,PM10,2013-12-14,1,25,µg/mc
Rovereto,PM10,2013-12-14,2,27,µg/mc
Rovereto,PM10,2013-12-14,3,24,µg/mc
Rovereto,PM10,2013-12-14,4,18,µg/mc
Rovereto,PM10,2013-12-14,5,18,µg/mc
Rovereto,PM10,2013-12-14,6,16,µg/mc
Rovereto,PM10,2013-12-14,7,15,µg/mc
Rovereto,PM10,2013-12-14,8,15,µg/mc
Rovereto,PM10,2013-12-14,9,17,µg/mc
Rovereto,PM10,2013-12-14,10,19,µg/mc
Rovereto,PM10,2013-12-14,11,18,µg/mc
Rovereto,PM10,2013-12-14,12,15,µg/mc
Rovereto,PM10,2013-12-14,13,13,µg/mc
Rovereto,PM10,2013-12-14,14,14,µg/mc
Rovereto,PM10,2013-12-14,15,16,µg/mc
Rovereto,PM10,2013-12-14,16,17,µg/mc
Rovereto,PM10,2013-12-14,17,19,µg/mc
Rovereto,PM10,2013-12-14,18,23,µg/mc
Rovereto,PM10,2013-12-14,19,23,µg/mc
Rovereto,PM10,2013-12-14,20,31,µg/mc
Rovereto,PM10,2013-12-14,21,36,µg/mc
Rovereto,PM10,2013-12-14,22,41,µg/mc
Rovereto,PM10,2013-12-14,23,44,µg/mc
Rovereto,PM10,2013-12-14,24,42,µg/mc
Rovereto,PM10,2013-12-15,1,32,µg/mc
Rovereto,PM10,2013-12-15,2,36,µg/mc
Rovereto,PM10,2013-12-15,3,33,µg/mc
Rovereto,PM10,2013-12-15,4,33,µg/mc
Rovereto,PM10,2013-12-15,5,32,µg/mc
Rovereto,PM10,2013-12-15,6,28,µg/mc
Rovereto,PM10,2013-12-15,7,20,µg/mc
Rovereto,PM10,2013-12-15,8,21,µg/mc
Rovereto,PM10,2013-12-15,9,21,µg/mc
Rovereto,PM10,2013-12-15,10,25,µg/mc
Rovereto,PM10,2013-12-15,11,22,µg/mc
Rovereto,PM10,2013-12-15,12,16,µg/mc
Rovereto,PM10,2013-12-15,13,12,µg/mc
Rovereto,PM10,2013-12-15,14,11,µg/mc
Rovereto,PM10,2013-12-15,15,12,µg/mc
Rovereto,PM10,2013-12-15,16,14,µg/mc
Rovereto,PM10,2013-12-15,17,14,µg/mc
Rovereto,PM10,2013-12-15,18,16,µg/mc
Rovereto,PM10,2013-12-15,19,19,µg/mc
Rovereto,PM10,2013-12-15,20,25,µg/mc
Rovereto,PM10,2013-12-15,21,29,µg/mc
Rovereto,PM10,2013-12-15,22,22,µg/mc
Rovereto,PM10,2013-12-15,23,23,µg/mc
Rovereto,PM10,2013-12-15,24,23,µg/mc
Rovereto,PM10,2013-12-16,1,18,µg/mc
Rovereto,PM10,2013-12-16,2,18,µg/mc
Rovereto,PM10,2013-12-16,3,14,µg/mc
Rovereto,PM10,2013-12-16,4,16,µg/mc
Rovereto,PM10,2013-12-16,5,14,µg/mc
Rovereto,PM10,2013-12-16,6,13,µg/mc
Rovereto,PM10,2013-12-16,7,13,µg/mc
Rovereto,PM10,2013-12-16,8,14,µg/mc
Rovereto,PM10,2013-12-16,9,14,µg/mc
Rovereto,PM10,2013-12-16,10,14,µg/mc
Rovereto,PM10,2013-12-16,11,15,µg/mc
Rovereto,PM10,2013-12-16,12,12,µg/mc
Rovereto,PM10,2013-12-16,13,11,µg/mc
Rovereto,PM10,2013-12-16,14,12,µg/mc
Rovereto,PM10,2013-12-16,15,12,µg/mc
Rovereto,PM10,2013-12-16,16,15,µg/mc
Rovereto,PM10,2013-12-16,17,17,µg/mc
Rovereto,PM10,2013-12-16,18,19,µg/mc
Rovereto,PM10,2013-12-16,19,29,µg/mc
Rovereto,PM10,2013-12-16,20,35,µg/mc
Rovereto,PM10,2013-12-16,21,33,µg/mc
Rovereto,PM10,2013-12-16,22,35,µg/mc
Rovereto,PM10,2013-12-16,23,29,µg/mc
Rovereto,PM10,2013-12-16,24,34,µg/mc
Rovereto,PM10,2013-12-17,1,33,µg/mc
Rovereto,PM10,2013-12-17,2,33,µg/mc
Rovereto,PM10,2013-12-17,3,27,µg/mc
Rovereto,PM10,2013-12-17,4,29,µg/mc
Rovereto,PM10,2013-12-17,5,27,µg/mc
Rovereto,PM10,2013-12-17,6,21,µg/mc
Rovereto,PM10,2013-12-17,7,18,µg/mc
Rovereto,PM10,2013-12-17,8,21,µg/mc
Rovereto,PM10,2013-12-17,9,22,µg/mc
Rovereto,PM10,2013-12-17,10,21,µg/mc
Rovereto,PM10,2013-12-17,11,22,µg/mc
Rovereto,PM10,2013-12-17,12,19,µg/mc
Rovereto,PM10,2013-12-17,13,15,µg/mc
Rovereto,PM10,2013-12-17,14,15,µg/mc
Rovereto,PM10,2013-12-17,15,16,µg/mc
Rovereto,PM10,2013-12-17,16,18,µg/mc
Rovereto,PM10,2013-12-17,17,19,µg/mc
Rovereto,PM10,2013-12-17,18,25,µg/mc
Rovereto,PM10,2013-12-17,19,32,µg/mc
Rovereto,PM10,2013-12-17,20,37,µg/mc
Rovereto,PM10,2013-12-17,21,43,µg/mc
Rovereto,PM10,2013-12-17,22,40,µg/mc
Rovereto,PM10,2013-12-17,23,35,µg/mc
Rovereto,PM10,2013-12-17,24,29,µg/mc
Rovereto,PM10,2013-12-18,1,31,µg/mc
Rovereto,PM10,2013-12-18,2,27,µg/mc
Rovereto,PM10,2013-12-18,3,26,µg/mc
Rovereto,PM10,2013-12-18,4,24,µg/mc
Rovereto,PM10,2013-12-18,5,19,µg/mc
Rovereto,PM10,2013-12-18,6,19,µg/mc
Rovereto,PM10,2013-12-18,7,19,µg/mc
Rovereto,PM10,2013-12-18,8,21,µg/mc
Rovereto,PM10,2013-12-18,9,23,µg/mc
